ano;UF;tipo;area colheita;area colhida;Q produzida;rendimento medio;valor produção
2018;Roraima;Café (em grão) Arábica;0;0;0;0;0
2018;Pará;Café (em grão) Arábica;0;0;0;835;0
2018;Amapá;Café (em grão) Arábica;0;0;0;0;0
2018;Tocantins;Café (em grão) Arábica;0;0;0;0;0
2018;Maranhão;Café (em grão) Arábica;0;0;0;0;0
2018;Piauí;Café (em grão) Arábica;0;0;0;0;0
2018;Ceará;Café (em grão) Arábica;1657;1657;628;197;3347
2018;Rio Grande do Norte;Café (em grão) Arábica;0;0;0;0;0
2018;Paraíba;Café (em grão) Arábica;0;0;0;0;0
2018;Pernambuco;Café (em grão) Arábica;2159;2079;676;0;3940
2018;Alagoas;Café (em grão) Arábica;0;0;0;0;0
2018;Sergipe;Café (em grão) Arábica;0;0;0;0;0
2018;Bahia;Café (em grão) Arábica;78583;76048;110030;2120;676976
2018;Minas Gerais;Café (em grão) Arábica;1005415;1005185;1881219;1741;13429212
2018;Espírito Santo;Café (em grão) Arábica;125605;125605;221457;1455;1335413
2018;Rio de Janeiro;Café (em grão) Arábica;12197;12197;17825;0;110089
2018;São Paulo;Café (em grão) Arábica;198725;198707;342814;1680;1973887
2018;Paraná;Café (em grão) Arábica;39017;39009;65252;0;436788
2018;Santa Catarina - Brasil;Café (em grão) Arábica;0;0;0;0;0
2018;Rio Grande do Sul;Café (em grão) Arábica;0;0;0;0;0
2018;Mato Grosso do Sul;Café (em grão) Arábica;253;253;221;0;1279
2018;Mato Grosso;Café (em grão) Arábica;145;145;146;425;746
2018;Goiás;Café (em grão) Arábica;8144;8040;21091;0;101040
2018;Distrito Federal - Brasil;Café (em grão) Arábica;518;345;552;0;3588
2017;Rondônia;Café (em grão) Canephora;71635;71605;140836;1967;812601
2017;Acre;Café (em grão) Canephora;1648;1538;2629;1709;10817
2017;Amazonas;Café (em grão) Canephora;362;344;481;1398;1312
2017;Roraima;Café (em grão) Canephora;0;0;0;0;0
2017;Pará;Café (em grão) Canephora;460;460;384;835;1204
2017;Amapá;Café (em grão) Canephora;0;0;0;0;0
2017;Tocantins;Café (em grão) Canephora;0;0;0;0;0
2017;Maranhão;Café (em grão) Canephora;0;0;0;0;0
2017;Piauí;Café (em grão) Canephora;0;0;0;0;0
2017;Ceará;Café (em grão) Canephora;127;127;25;197;116
2017;Rio Grande do Norte;Café (em grão) Canephora;0;0;0;0;0
2017;Paraíba;Café (em grão) Canephora;0;0;0;0;0
2017;Pernambuco;Café (em grão) Canephora;0;0;0;0;0
2017;Alagoas;Café (em grão) Canephora;0;0;0;0;0
2017;Sergipe;Café (em grão) Canephora;0;0;0;0;0
2017;Bahia;Café (em grão) Canephora;47218;47218;100105;2120;616638
2017;Minas Gerais;Café (em grão) Canephora;10022;10022;17449;1741;113334
2017;Espírito Santo;Café (em grão) Canephora;256884;256884;373711;1455;2403299
2017;Rio de Janeiro;Café (em grão) Canephora;0;0;0;0;0
2017;São Paulo;Café (em grão) Canephora;25;25;42;1680;221
2017;Paraná;Café (em grão) Canephora;0;0;0;0;0
2017;Santa Catarina - Brasil;Café (em grão) Canephora;0;0;0;0;0
2017;Rio Grande do Sul;Café (em grão) Canephora;0;0;0;0;0
2017;Mato Grosso do Sul;Café (em grão) Canephora;0;0;0;0;0
2017;Mato Grosso;Café (em grão) Canephora;15693;15693;6675;425;38236
2017;Goiás;Café (em grão) Canephora;0;0;0;0;0
2017;Distrito Federal - Brasil;Café (em grão) Canephora;0;0;0;0;0
2017;Rondônia;Café (em grão) Arábica;0;0;0;0;0
2017;Acre;Café (em grão) Arábica;0;0;0;0;0
2017;Amazonas;Café (em grão) Arábica;25;24;26;1083;103
2017;Roraima;Café (em grão) Arábica;0;0;0;0;0
2017;Pará;Café (em grão) Arábica;0;0;0;0;0
2017;Amapá;Café (em grão) Arábica;0;0;0;0;0
2017;Tocantins;Café (em grão) Arábica;0;0;0;0;0
2017;Maranhão;Café (em grão) Arábica;0;0;0;0;0
2017;Piauí;Café (em grão) Arábica;0;0;0;0;0
2017;Ceará;Café (em grão) Arábica;2764;2762;665;241;4325
2017;Rio Grande do Norte;Café (em grão) Arábica;0;0;0;0;0
2017;Paraíba;Café (em grão) Arábica;0;0;0;0;0
2017;Pernambuco;Café (em grão) Arábica;2236;2236;655;293;3480
2017;Alagoas;Café (em grão) Arábica;0;0;0;0;0
2017;Sergipe;Café (em grão) Arábica;0;0;0;0;0
2017;Bahia;Café (em grão) Arábica;79489;76592;60543;790;417353
2017;Minas Gerais;Café (em grão) Arábica;915234;915086;1437330;1571;10624611
